nama_data,value
Kabupaten Bogor ,5427.07
Kabupaten Bandung ,3623.79
Kabupaten Bekasi ,3113.02
Kota Sukabumi ,2725.45
Kabupaten Garut ,2585.61
Kota Bekasi ,2543.68
Kabupaten Cianjur ,2477.56
Kota Bandung ,2444.16
Kabupaten Karawang ,2439.09
Kabupaten Cirebon ,2270.62
Kota Depok ,2056.34
Kabupaten Tasikmalaya ,1865.2
Kabupaten Indramayu ,1834.43
Kabupaten Bandung Barat ,1788.34
Kabupaten Subang ,1595.32
Kabupaten Majalengka ,1305.48
Kabupaten Ciamis ,1229.07
Kabupaten Kuningan ,1167.69
Kabupaten Sumedang ,1152.51
Kota Bogor ,1043.07
Kabupaten Purwakarta ,997.87
Kota Tasikmalaya ,716.16
Kota Cimahi ,568.4
Kabupaten Pangandaran ,423.67
Kota Sukabumi ,346.33
Kota Cirebon ,333.3
Kota Banjar ,200.97
