tanggal,kode_kab_kota,nama_kab_kota,konfirmasi_total,konfirmasi_sembuh,konfirmasi_meninggal,konfirmasi_aktif,konfirmasi_total_daily_growth,konfirmasi_sembuh_daily_growth,konfirmasi_meninggal_daily_growth,konfirmasi_aktif_daily_growth,kota_kab_belum_teridentifikasi,sembuh_unidentified,meninggal_unidentified,id
2020-03-01 00:00:00,32,jawa barat,,,,,,,,,0,0,0,1
2020-03-01 00:00:00,3204,Kabupaten Bandung,0,0,0,0,0,0,0,0,,,,2
2020-03-01 00:00:00,3217,Kabupaten Bandung Barat,0,0,0,0,0,0,0,0,,,,3
2020-03-01 00:00:00,3216,Kabupaten Bekasi,0,0,0,0,0,0,0,0,,,,4
2020-03-01 00:00:00,3201,Kabupaten Bogor,0,0,0,0,0,0,0,0,,,,5
2020-03-01 00:00:00,3207,Kabupaten Ciamis,0,0,0,0,0,0,0,0,,,,6
2020-03-01 00:00:00,3203,Kabupaten Cianjur,0,0,0,0,0,0,0,0,,,,7
2020-03-01 00:00:00,3209,Kabupaten Cirebon,0,0,0,0,0,0,0,0,,,,8
2020-03-01 00:00:00,3205,Kabupaten Garut,0,0,0,0,0,0,0,0,,,,9
2020-03-01 00:00:00,3212,Kabupaten Indramayu,0,0,0,0,0,0,0,0,,,,10
2020-03-01 00:00:00,3215,Kabupaten Karawang,0,0,0,0,0,0,0,0,,,,11
2020-03-01 00:00:00,3208,Kabupaten Kuningan,0,0,0,0,0,0,0,0,,,,12
2020-03-01 00:00:00,3210,Kabupaten Majalengka,0,0,0,0,0,0,0,0,,,,13
2020-03-01 00:00:00,3218,Kabupaten Pangandaran,0,0,0,0,0,0,0,0,,,,14
2020-03-01 00:00:00,3214,Kabupaten Purwakarta,0,0,0,0,0,0,0,0,,,,15
2020-03-01 00:00:00,3213,Kabupaten Subang,0,0,0,0,0,0,0,0,,,,16
2020-03-01 00:00:00,3202,Kabupaten Sukabumi,0,0,0,0,0,0,0,0,,,,17
2020-03-01 00:00:00,3211,Kabupaten Sumedang,0,0,0,0,0,0,0,0,,,,18
2020-03-01 00:00:00,3206,Kabupaten Tasikmalaya,0,0,0,0,0,0,0,0,,,,19
2020-03-01 00:00:00,3273,Kota Bandung,0,0,0,0,0,0,0,0,,,,20
2020-03-01 00:00:00,3279,Kota Banjar,0,0,0,0,0,0,0,0,,,,21
2020-03-01 00:00:00,3275,Kota Bekasi,0,0,0,0,0,0,0,0,,,,22
2020-03-01 00:00:00,3271,Kota Bogor,0,0,0,0,0,0,0,0,,,,23
